count,mean,std,min,25%,50%,75%,max
10014.0,1.0128819652486518,0.4812823497055063,0.0,1.0,1.0,1.0,2.0
10014.0,24.249460455362605,653.3145911203127,0.0,4.956,5.7285,6.466,36100.0
1848.0,163.0007575757573,49.50729881677993,0.0,139.1,161.85000000000002,180.85000000000002,482.6
10014.0,26153.094827241886,29465.2294845309,0.0,7444.825000000001,13751.25,34587.274999999994,436806.0
10014.0,5845.876972238865,19296.202018433727,0.0,1648.0,3020.0,7343.0,1806211.0
9845.0,282.0957237176227,272.66059145737535,-71.2,162.2,229.4,296.4,12103.0
9844.0,131.9855140186912,68.68314050720153,-500.0,103.1,130.0,148.3,1484.0
10014.0,8247845772003186.0,7.586143799303485e+16,2023256.0,3971576.0,6101241.0,6101241.0,7.059310041768955e+17
1765.0,1295.763852691217,756.0615799171865,0.0,728.7,1236.7,1745.4,5928.8
10014.0,12.135570201717604,3.9928715305450746,0.0,9.6,11.6,14.475,122.7
546.0,630.9487179487179,244.33924590637605,115.0,502.0,603.0,708.0,2428.0
10014.0,4543.180147793089,5016.518145417905,0.0,1442.0,2451.0,6109.0,90983.0
1959.0,1.4808575803981623,3.2031196616001867,0.0,0.0,0.0,2.0,50.0
1959.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
10014.0,278.701527860995,428.87755167416145,0.0,27.5,85.2,361.8,4416.8
546.0,188.86080586080587,30.352105597664593,5.0,176.25,195.0,208.75,246.0
4039.0,9.74325328051498,1.8532566179832228,0.0,10.0,10.0,10.0,12.0
